ID,NAME,POINTNUM,RTUID,RTUIDX,NEXTIDXINRTU,TYPE,VALUE,RAWVALUE,QUALITYCODE,CONTROLINHIBITFLAG,CHANGEREASON,TAGGINGFLAGS,TRIPCOUNT,FAULTTRIPCOUNT,TIMESTAMP,ALARMPROCMODE,ALARMPRIORITY,ALARMOPTIONFLAGS,ALARMDELAYEDTIME,TPINVOLVEDFLAG,TRIPCOUNTLIMIT,FAULTTRIPCOUNTLIMIT,REVERSEPOLARITY,STATUSTYPE,POINTADDRESS,GROUPADDRESS,IEDADDRESS,TWOBITTRANSITIONTIME,TWOBITLINKEDPOINTID,DIRECTALARMSUPPRESSPTTYPE,DIRECTALARMSUPPRESSRTUID,DIRECTALARMSUPPRESSPTNUM,DIRECTALARMSUPPRESSPTVALUE,AUTHORITYAREA,VOICEFILEID,VOICEFILEIDX,POPUPDISPLAYFILEID,POPUPDISPLAYFILEIDX,STATISTICSID,STATISTICSIDX,SAVEPERIODICITY,V2SGROUPID,MEASIDX,ALARMTYPE,LINKEDTYPE,DATASOURCE,NORMALSTATUS,EQUIPMENTCONTAINER_ID,EQUIPMENTCONTAINER_TABLEID,EQUIPMENTCONTAINER_IDX,ALIASNAME,PATHNAME,LNODE_ID,LNODE_IDX,LINKNEXT_IDX,FIS_TYPE,CPUNO,FIS_SUBTYPE,SUBSTATION_ID,SUBSTATION_IDX,NEXTIDXINSUBSTATION,FISPATHNAME,EXTFLAG,SCANINTERVAL,EXTFIELD0,VALUE2,QUALITYCODE2
2,YX_1_fj1,0,2,0,49,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115021,1073,0,风机状态_fj1,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj1,2,0,49,0,0,0,115020,-1,49,,0,900,-1,0,-1
3,YX_1_fj2,1,2,0,0,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115022,1073,1,风机状态_fj2,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj2,2,0,0,0,0,0,115020,-1,0,,0,900,-1,0,-1
4,YX_1_fj3,2,2,0,1,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115023,1073,2,风机状态_fj3,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj3,2,0,1,0,0,0,115020,-1,1,,0,900,-1,0,-1
5,YX_1_fj4,3,2,0,2,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115024,1073,3,风机状态_fj4,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj4,2,0,2,0,0,0,115020,-1,2,,0,900,-1,0,-1
6,YX_1_fj5,4,2,0,3,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115025,1073,4,风机状态_fj5,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj5,2,0,3,0,0,0,115020,-1,3,,0,900,-1,0,-1
7,YX_1_fj6,5,2,0,4,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115026,1073,5,风机状态_fj6,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj6,2,0,4,0,0,0,115020,-1,4,,0,900,-1,0,-1
8,YX_1_fj7,6,2,0,5,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115027,1073,6,风机状态_fj7,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj7,2,0,5,0,0,0,115020,-1,5,,0,900,-1,0,-1
9,YX_1_fj8,7,2,0,6,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115028,1073,7,风机状态_fj8,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj8,2,0,6,0,0,0,115020,-1,6,,0,900,-1,0,-1
10,YX_1_fj9,8,2,0,7,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115029,1073,8,风机状态_fj9,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj9,2,0,7,0,0,0,115020,-1,7,,0,900,-1,0,-1
11,YX_1_fj10,9,2,0,8,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115030,1073,9,风机状态_fj10,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj10,2,0,8,0,0,0,115020,-1,8,,0,900,-1,0,-1
12,YX_1_fj11,10,2,0,9,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115031,1073,10,风机状态_fj11,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj11,2,0,9,0,0,0,115020,-1,9,,0,900,-1,0,-1
13,YX_1_fj12,11,2,0,10,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115032,1073,11,风机状态_fj12,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj12,2,0,10,0,0,0,115020,-1,10,,0,900,-1,0,-1
14,YX_1_fj13,12,2,0,11,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115033,1073,12,风机状态_fj13,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj13,2,0,11,0,0,0,115020,-1,11,,0,900,-1,0,-1
15,YX_1_fj14,13,2,0,12,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115034,1073,13,风机状态_fj14,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj14,2,0,12,0,0,0,115020,-1,12,,0,900,-1,0,-1
16,YX_1_fj15,14,2,0,13,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115035,1073,14,风机状态_fj15,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj15,2,0,13,0,0,0,115020,-1,13,,0,900,-1,0,-1
17,YX_1_fj16,15,2,0,14,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115036,1073,15,风机状态_fj16,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj16,2,0,14,0,0,0,115020,-1,14,,0,900,-1,0,-1
18,YX_1_fj17,16,2,0,15,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115037,1073,16,风机状态_fj17,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj17,2,0,15,0,0,0,115020,-1,15,,0,900,-1,0,-1
19,YX_1_fj18,17,2,0,16,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115038,1073,17,风机状态_fj18,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj18,2,0,16,0,0,0,115020,-1,16,,0,900,-1,0,-1
20,YX_1_fj19,18,2,0,17,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115039,1073,18,风机状态_fj19,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj19,2,0,17,0,0,0,115020,-1,17,,0,900,-1,0,-1
21,YX_1_fj20,19,2,0,18,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115040,1073,19,风机状态_fj20,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj20,2,0,18,0,0,0,115020,-1,18,,0,900,-1,0,-1
22,YX_1_fj21,20,2,0,19,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115041,1073,20,风机状态_fj21,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj21,2,0,19,0,0,0,115020,-1,19,,0,900,-1,0,-1
23,YX_1_fj22,21,2,0,20,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115042,1073,21,风机状态_fj22,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj22,2,0,20,0,0,0,115020,-1,20,,0,900,-1,0,-1
24,YX_1_fj23,22,2,0,21,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115043,1073,22,风机状态_fj23,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj23,2,0,21,0,0,0,115020,-1,21,,0,900,-1,0,-1
25,YX_1_fj24,23,2,0,22,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115044,1073,23,风机状态_fj24,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj24,2,0,22,0,0,0,115020,-1,22,,0,900,-1,0,-1
26,YX_1_fj25,24,2,0,23,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115045,1073,24,风机状态_fj25,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj25,2,0,23,0,0,0,115020,-1,23,,0,900,-1,0,-1
27,YX_1_fj26,25,2,0,24,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115046,1073,25,风机状态_fj26,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj26,2,0,24,0,0,0,115020,-1,24,,0,900,-1,0,-1
28,YX_1_fj27,26,2,0,25,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115047,1073,26,风机状态_fj27,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj27,2,0,25,0,0,0,115020,-1,25,,0,900,-1,0,-1
29,YX_1_fj28,27,2,0,26,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115048,1073,27,风机状态_fj28,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj28,2,0,26,0,0,0,115020,-1,26,,0,900,-1,0,-1
30,YX_1_fj29,28,2,0,27,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115049,1073,28,风机状态_fj29,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj29,2,0,27,0,0,0,115020,-1,27,,0,900,-1,0,-1
31,YX_1_fj30,29,2,0,28,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115050,1073,29,风机状态_fj30,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj30,2,0,28,0,0,0,115020,-1,28,,0,900,-1,0,-1
32,YX_1_fj31,30,2,0,29,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115051,1073,30,风机状态_fj31,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj31,2,0,29,0,0,0,115020,-1,29,,0,900,-1,0,-1
33,YX_1_fj32,31,2,0,30,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115052,1073,31,风机状态_fj32,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj32,2,0,30,0,0,0,115020,-1,30,,0,900,-1,0,-1
34,YX_1_fj33,32,2,0,31,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115053,1073,32,风机状态_fj33,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj33,2,0,31,0,0,0,115020,-1,31,,0,900,-1,0,-1
35,YX_1_fj34,33,2,0,32,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115054,1073,33,风机状态_fj34,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj34,2,0,32,0,0,0,115020,-1,32,,0,900,-1,0,-1
36,YX_1_fj35,34,2,0,33,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115055,1073,34,风机状态_fj35,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj35,2,0,33,0,0,0,115020,-1,33,,0,900,-1,0,-1
37,YX_1_fj36,35,2,0,34,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115056,1073,35,风机状态_fj36,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj36,2,0,34,0,0,0,115020,-1,34,,0,900,-1,0,-1
38,YX_1_fj37,36,2,0,35,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115057,1073,36,风机状态_fj37,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj37,2,0,35,0,0,0,115020,-1,35,,0,900,-1,0,-1
39,YX_1_fj38,37,2,0,36,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115058,1073,37,风机状态_fj38,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj38,2,0,36,0,0,0,115020,-1,36,,0,900,-1,0,-1
40,YX_1_fj39,38,2,0,37,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115059,1073,38,风机状态_fj39,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj39,2,0,37,0,0,0,115020,-1,37,,0,900,-1,0,-1
41,YX_1_fj40,39,2,0,38,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115060,1073,39,风机状态_fj40,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj40,2,0,38,0,0,0,115020,-1,38,,0,900,-1,0,-1
42,YX_1_fj41,40,2,0,39,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115061,1073,40,风机状态_fj41,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj41,2,0,39,0,0,0,115020,-1,39,,0,900,-1,0,-1
43,YX_1_fj42,41,2,0,40,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115062,1073,41,风机状态_fj42,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj42,2,0,40,0,0,0,115020,-1,40,,0,900,-1,0,-1
44,YX_1_fj43,42,2,0,41,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115063,1073,42,风机状态_fj43,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj43,2,0,41,0,0,0,115020,-1,41,,0,900,-1,0,-1
45,YX_1_fj44,43,2,0,42,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115064,1073,43,风机状态_fj44,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj44,2,0,42,0,0,0,115020,-1,42,,0,900,-1,0,-1
46,YX_1_fj45,44,2,0,43,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115065,1073,44,风机状态_fj45,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj45,2,0,43,0,0,0,115020,-1,43,,0,900,-1,0,-1
47,YX_1_fj46,45,2,0,44,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115066,1073,45,风机状态_fj46,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj46,2,0,44,0,0,0,115020,-1,44,,0,900,-1,0,-1
48,YX_1_fj47,46,2,0,45,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115067,1073,46,风机状态_fj47,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj47,2,0,45,0,0,0,115020,-1,45,,0,900,-1,0,-1
49,YX_1_fj48,47,2,0,46,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115068,1073,47,风机状态_fj48,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj48,2,0,46,0,0,0,115020,-1,46,,0,900,-1,0,-1
50,YX_1_fj49,48,2,0,47,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115069,1073,48,风机状态_fj49,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj49,2,0,47,0,0,0,115020,-1,47,,0,900,-1,0,-1
51,YX_1_fj50,49,2,0,48,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115070,1073,49,风机状态_fj50,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj50,2,0,48,0,0,0,115020,-1,48,,0,900,-1,0,-1
